900, 900
x軸, y軸（補正なし）, ypos（補正あり）
487, 502, 484
481, 506, 488
487, 504, 486
490, 502, 484
488, 503, 485
482, 506, 488
487, 502, 484
485, 503, 485
490, 502, 484
488, 503, 485
490, 500, 482
485, 503, 485
485, 503, 485
485, 505, 487
482, 508, 490
489, 501, 483
483, 506, 488
490, 502, 484
488, 505, 487
486, 506, 488
486, 501, 483
482, 505, 487
491, 503, 485
487, 505, 487
486, 503, 485
485, 503, 485
488, 502, 484
487, 502, 484
490, 503, 485
484, 503, 485
484, 505, 487
491, 504, 486
483, 506, 488
489, 503, 485
487, 502, 484
491, 502, 484
489, 500, 482
490, 501, 483
490, 502, 484
488, 503, 485
490, 504, 486
484, 505, 487
490, 503, 485
485, 505, 487
486, 502, 484
488, 504, 486
491, 500, 482
485, 504, 486
487, 505, 487
484, 503, 485
485, 503, 485
482, 506, 488
485, 503, 485
483, 505, 487
489, 501, 483
487, 502, 484
486, 505, 487
490, 500, 482
484, 505, 487
486, 503, 485
488, 502, 484
484, 504, 486
486, 506, 488
487, 505, 487
490, 502, 484
487, 501, 483
491, 501, 483
490, 501, 483
485, 503, 485
489, 499, 481
489, 506, 488
490, 500, 482
489, 505, 487
481, 504, 486
485, 503, 485
489, 501, 483
483, 506, 488
481, 507, 489
485, 505, 487
