900, 900
x軸, y軸（補正なし）, ypos（補正あり）
683, 348, 294
687, 346, 295
689, 346, 295
718, 352, 292
689, 345, 296
690, 346, 295
690, 345, 296
686, 346, 295
689, 345, 296
686, 348, 294
689, 346, 295
705, 361, 287
691, 345, 296
691, 345, 296
690, 345, 296
686, 346, 295
679, 356, 290
696, 343, 297
690, 345, 296
690, 346, 295
690, 346, 295
684, 346, 295
691, 345, 296
690, 346, 295
689, 346, 295
689, 346, 295
689, 346, 295
701, 343, 297
691, 345, 296
690, 345, 296
684, 348, 294
698, 341, 298
683, 356, 290
698, 343, 297
686, 346, 295
690, 345, 296
686, 346, 295
690, 346, 295
684, 352, 292
686, 348, 294
689, 346, 295
686, 346, 295
690, 345, 296
682, 352, 292
686, 346, 295
689, 346, 295
684, 352, 292
690, 343, 297
673, 360, 288
686, 346, 295
689, 346, 295
689, 343, 297
725, 356, 290
691, 345, 296
690, 346, 295
693, 348, 294
691, 346, 295
686, 346, 295
690, 343, 297
715, 354, 291
686, 348, 294
689, 346, 295
717, 354, 291
686, 345, 296
689, 346, 295
729, 350, 293
691, 345, 296
690, 346, 295
686, 346, 295
683, 354, 291
687, 346, 295
693, 345, 296
700, 341, 298
686, 346, 295
689, 345, 296
691, 345, 296
691, 346, 295
689, 345, 296
689, 345, 296
686, 346, 295
697, 341, 298
715, 354, 291
686, 346, 295
693, 343, 297
693, 345, 296
690, 345, 296
722, 352, 292
689, 346, 295
703, 343, 297
693, 345, 296
687, 346, 295
696, 343, 297
720, 352, 292
698, 341, 298
689, 348, 294
710, 358, 289
701, 339, 299
698, 343, 297
693, 343, 297
691, 346, 295
691, 346, 295
698, 343, 297
683, 352, 292
700, 341, 298
689, 346, 295
689, 345, 296
694, 350, 293
693, 343, 297
691, 345, 296
701, 339, 299
779, 121, 415
690, 346, 295
677, 354, 291
675, 358, 289
572, 33, 462
600, 30, 464
244, 90, 432
697, 341, 298
680, 356, 290
690, 345, 296
686, 343, 297
677, 358, 289
675, 354, 291
673, 358, 289
765, 97, 428
783, 123, 414
774, 176, 386
763, 196, 375
728, 251, 346
727, 241, 351
720, 215, 365
729, 193, 377
714, 200, 373
727, 225, 360
729, 219, 363
752, 228, 358
712, 230, 357
721, 223, 361
714, 208, 369
711, 198, 374
686, 232, 356
697, 223, 361
703, 136, 407
693, 133, 409
703, 129, 411
712, 108, 422
707, 105, 424
720, 99, 427
675, 112, 420
711, 103, 425
630, 116, 418
691, 105, 424
614, 110, 421
665, 106, 423
594, 120, 416
653, 105, 424
635, 116, 418
608, 118, 417
624, 108, 422
579, 116, 418
611, 101, 426
601, 97, 428
606, 91, 431
606, 93, 430
582, 91, 431
580, 95, 429
569, 97, 428
577, 101, 426
561, 114, 419
563, 112, 420
541, 123, 414
541, 120, 416
511, 121, 415
517, 114, 419
480, 110, 421
465, 103, 425
500, 95, 429
475, 112, 420
478, 138, 406
499, 148, 401
514, 157, 396
437, 174, 387
431, 178, 385
430, 193, 377
281, 153, 398
420, 200, 373
399, 187, 380
518, 176, 386
469, 170, 389
475, 168, 390
482, 159, 395
473, 127, 412
454, 116, 418
466, 123, 414
412, 118, 417
459, 105, 424
493, 101, 426
469, 103, 425
386, 108, 422
424, 106, 423
421, 116, 418
388, 120, 416
381, 118, 417
279, 136, 407
267, 135, 408
257, 140, 405
374, 106, 423
275, 129, 411
262, 133, 409
367, 105, 424
258, 133, 409
246, 150, 400
236, 151, 399
264, 112, 420
248, 142, 404
241, 150, 400
240, 138, 406
233, 157, 396
216, 174, 387
247, 140, 405
222, 157, 396
212, 144, 403
217, 140, 405
239, 151, 399
237, 140, 405
225, 159, 395
243, 142, 404
239, 140, 405
203, 180, 384
232, 148, 401
234, 157, 396
223, 193, 377
248, 155, 397
240, 159, 395
246, 153, 398
268, 155, 397
275, 148, 401
272, 163, 393
251, 181, 383
241, 135, 408
272, 133, 409
234, 142, 404
277, 103, 425
230, 127, 412
202, 118, 417
172, 114, 419
177, 114, 419
123, 112, 420
143, 116, 418
181, 101, 426
434, 232, 356
270, 165, 392
403, 129, 411
499, 172, 388
347, 395, 269
327, 285, 328
279, 121, 415
302, 105, 424
292, 82, 436
397, 84, 435
424, 80, 437
378, 93, 430
364, 82, 436
253, 105, 424
246, 108, 422
316, 84, 435
219, 101, 426
234, 110, 421
264, 84, 435
244, 108, 422
239, 121, 415
237, 135, 408
232, 131, 410
243, 125, 413
226, 133, 409
215, 131, 410
208, 140, 405
206, 142, 404
172, 142, 404
109, 155, 397
90, 157, 396
84, 163, 393
91, 174, 387
95, 178, 385
102, 180, 384
129, 191, 378
168, 202, 372
212, 189, 379
241, 193, 377
258, 195, 376
258, 196, 375
239, 196, 375
216, 198, 374
195, 200, 373
178, 208, 369
177, 217, 364
178, 219, 363
181, 223, 361
184, 223, 361
181, 223, 361
184, 226, 359
184, 226, 359
184, 226, 359
182, 228, 358
187, 232, 356
185, 230, 357
188, 236, 354
168, 256, 343
172, 290, 325
161, 337, 300
210, 408, 262
222, 433, 249
220, 442, 244
226, 478, 225
230, 506, 210
239, 551, 186
248, 590, 165
262, 615, 152
285, 645, 136
300, 665, 125
312, 699, 107
300, 718, 97
295, 736, 87
302, 727, 92
258, 723, 94
258, 695, 109
206, 502, 212
215, 395, 269
219, 333, 302
212, 316, 311
196, 318, 310
181, 331, 303
182, 339, 299
202, 326, 306
158, 363, 286
150, 375, 280
191, 339, 299
528, 331, 303
333, 58, 449
559, 90, 432
675, 121, 415
779, 155, 397
684, 151, 399
506, 150, 400
829, 425, 253
777, 450, 240
743, 470, 229
767, 414, 259
808, 288, 326
788, 268, 337
819, 223, 361
818, 210, 368
779, 253, 345
773, 253, 345
718, 286, 327
651, 288, 326
568, 292, 324
518, 277, 332
475, 247, 348
441, 247, 348
419, 243, 350
409, 240, 352
414, 234, 355
471, 200, 373
583, 159, 395
634, 131, 410
645, 103, 425
703, 95, 429
739, 84, 435
724, 93, 430
724, 103, 425
750, 129, 411
769, 125, 413
580, 142, 404
478, 163, 393
351, 178, 385
275, 195, 376
223, 211, 367
188, 258, 342
171, 301, 319
165, 307, 316
165, 309, 315
167, 307, 316
178, 313, 313
198, 301, 319
196, 298, 321
212, 275, 333
250, 225, 360
288, 189, 379
331, 161, 394
389, 135, 408
427, 121, 415
388, 131, 410
293, 159, 395
243, 178, 385
206, 187, 380
191, 189, 379
182, 189, 379
167, 196, 375
165, 198, 374
161, 202, 372
156, 204, 371
150, 208, 369
150, 210, 368
149, 210, 368
151, 211, 367
151, 210, 368
160, 208, 369
161, 208, 369
163, 208, 369
163, 210, 368
164, 210, 368
175, 204, 371
180, 200, 373
209, 181, 383
285, 148, 401
317, 129, 411
322, 131, 410
326, 146, 402
330, 155, 397
340, 163, 393
348, 165, 392
357, 166, 391
372, 178, 385
397, 204, 371
417, 221, 362
447, 262, 340
468, 294, 323
486, 311, 314
499, 311, 314
500, 307, 316
473, 253, 345
437, 225, 360
421, 211, 367
392, 185, 381
378, 172, 388
376, 176, 386
382, 181, 383
390, 189, 379
396, 195, 376
406, 200, 373
414, 217, 364
450, 234, 355
500, 253, 345
561, 285, 328
586, 294, 323
613, 305, 317
663, 331, 303
717, 339, 299
732, 339, 299
745, 343, 297
756, 341, 298
766, 343, 297
766, 345, 296
757, 358, 289
742, 401, 266
748, 418, 257
746, 423, 254
748, 427, 252
743, 442, 244
729, 455, 237
686, 472, 228
615, 496, 215
570, 510, 208
540, 519, 203
517, 538, 193
500, 558, 182
480, 575, 173
464, 581, 170
448, 590, 165
426, 596, 162
419, 603, 158
397, 609, 155
392, 613, 153
393, 624, 147
397, 643, 137
412, 671, 122
433, 693, 110
442, 706, 103
466, 725, 93
486, 735, 88
511, 742, 84
509, 751, 79
538, 266, 338
565, 258, 342
541, 255, 344
495, 256, 343
396, 763, 73
358, 759, 75
451, 230, 357
448, 236, 354
410, 202, 372
452, 271, 335
444, 277, 332
395, 234, 355
300, 795, 56
399, 346, 295
461, 258, 342
455, 213, 366
485, 196, 375
390, 603, 158
416, 590, 165
444, 586, 167
502, 579, 171
552, 564, 179
638, 555, 184
694, 568, 177
760, 586, 167
509, 316, 311
745, 440, 245
680, 448, 241
583, 290, 325
450, 296, 322
466, 315, 312
791, 206, 370
710, 166, 391
700, 339, 299
689, 343, 297
684, 354, 291
680, 358, 289
680, 354, 291
677, 356, 290
676, 358, 289
683, 356, 290
683, 354, 291
683, 358, 289
686, 354, 291
698, 341, 298
679, 356, 290
687, 354, 291
687, 352, 292
690, 345, 296
684, 352, 292
683, 354, 291
693, 346, 295
693, 345, 296
693, 348, 294
725, 354, 291
691, 348, 294
725, 350, 293
686, 352, 292
