1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
556, 230, 357
558, 228, 358
558, 228, 358
559, 226, 359
565, 225, 360
559, 226, 359
559, 228, 358
552, 230, 357
558, 226, 359
558, 228, 358
551, 234, 355
561, 226, 359
559, 228, 358
558, 228, 358
555, 230, 357
556, 228, 358
558, 228, 358
561, 228, 358
555, 230, 357
558, 228, 358
558, 230, 357
552, 232, 356
555, 230, 357
561, 226, 359
559, 226, 359
556, 230, 357
555, 232, 356
561, 228, 358
559, 226, 359
558, 230, 357
558, 228, 358
554, 232, 356
562, 226, 359
559, 228, 358
551, 232, 356
561, 226, 359
549, 234, 355
555, 230, 357
561, 228, 358
562, 226, 359
552, 232, 356
556, 230, 357
558, 228, 358
549, 234, 355
555, 230, 357
561, 226, 359
552, 232, 356
561, 226, 359
561, 226, 359
559, 228, 358
