1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
618, 305, 317
625, 303, 318
621, 307, 316
624, 303, 318
617, 307, 316
618, 307, 316
622, 305, 317
621, 307, 316
624, 307, 316
621, 307, 316
622, 307, 316
621, 309, 315
621, 305, 317
621, 307, 316
621, 307, 316
618, 307, 316
621, 307, 316
618, 305, 317
624, 307, 316
620, 307, 316
622, 305, 317
622, 307, 316
624, 303, 318
621, 305, 317
630, 301, 319
621, 305, 317
618, 307, 316
622, 305, 317
622, 303, 318
621, 309, 315
620, 305, 317
630, 311, 314
620, 307, 316
624, 305, 317
624, 305, 317
621, 305, 317
622, 305, 317
624, 303, 318
620, 305, 317
620, 305, 317
624, 303, 318
624, 305, 317
624, 305, 317
625, 301, 319
624, 305, 317
