900, 900
x軸, y軸（補正なし）, ypos（補正あり）
679, 393, 270
672, 393, 270
683, 391, 271
683, 391, 271
677, 391, 271
684, 391, 271
673, 391, 271
682, 391, 271
683, 391, 271
690, 390, 272
687, 390, 272
689, 390, 272
677, 395, 269
686, 390, 272
683, 391, 271
673, 391, 271
683, 391, 271
684, 390, 272
682, 390, 272
682, 391, 271
680, 391, 271
683, 391, 271
683, 391, 271
683, 390, 272
693, 388, 273
673, 397, 268
683, 390, 272
683, 391, 271
684, 390, 272
684, 391, 271
683, 391, 271
683, 391, 271
675, 393, 270
684, 390, 272
683, 391, 271
682, 391, 271
683, 391, 271
686, 391, 271
684, 390, 272
670, 399, 267
843, 157, 396
852, 170, 389
824, 153, 398
819, 157, 396
812, 146, 402
811, 159, 395
815, 148, 401
818, 148, 401
817, 151, 399
821, 155, 397
818, 148, 401
818, 153, 398
817, 142, 404
817, 116, 418
821, 161, 394
817, 118, 417
817, 155, 397
818, 170, 389
815, 131, 410
814, 153, 398
817, 170, 389
817, 165, 392
815, 125, 413
815, 161, 394
815, 165, 392
812, 155, 397
811, 144, 403
810, 120, 416
807, 114, 419
812, 151, 399
807, 116, 418
808, 159, 395
808, 151, 399
807, 153, 398
810, 153, 398
805, 114, 419
807, 144, 403
810, 144, 403
805, 144, 403
808, 165, 392
811, 153, 398
804, 106, 423
811, 142, 404
810, 146, 402
805, 108, 422
807, 142, 404
804, 112, 420
807, 133, 409
810, 148, 401
805, 112, 420
810, 150, 400
807, 142, 404
805, 127, 412
807, 144, 403
811, 155, 397
805, 136, 407
812, 176, 386
808, 138, 406
804, 148, 401
808, 123, 414
810, 144, 403
810, 146, 402
810, 144, 403
810, 146, 402
808, 140, 405
811, 159, 395
810, 148, 401
812, 161, 394
804, 108, 422
798, 108, 422
808, 157, 396
808, 153, 398
804, 110, 421
802, 106, 423
810, 125, 413
808, 146, 402
808, 146, 402
805, 163, 393
808, 151, 399
805, 136, 407
808, 146, 402
805, 106, 423
759, 311, 314
807, 142, 404
675, 618, 150
810, 146, 402
804, 155, 397
801, 135, 408
808, 159, 395
811, 161, 394
810, 155, 397
808, 151, 399
805, 142, 404
805, 148, 401
808, 153, 398
802, 148, 401
805, 140, 405
805, 135, 408
812, 159, 395
795, 729, 91
810, 157, 396
511, 783, 62
805, 153, 398
400, 778, 65
810, 151, 399
805, 153, 398
541, 776, 66
798, 148, 401
499, 819, 43
811, 168, 390
804, 151, 399
805, 155, 397
807, 157, 396
797, 144, 403
787, 105, 424
807, 155, 397
807, 151, 399
562, 751, 79
524, 817, 44
523, 729, 91
517, 656, 130
556, 755, 77
576, 680, 117
666, 757, 76
750, 810, 48
703, 798, 54
807, 155, 397
804, 114, 419
807, 155, 397
810, 157, 396
805, 155, 397
807, 159, 395
811, 142, 404
676, 399, 267
669, 403, 265
679, 395, 269
667, 403, 265
665, 405, 264
665, 403, 265
679, 397, 268
682, 395, 269
