1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
638, 279, 331
649, 277, 332
652, 277, 332
649, 273, 334
649, 275, 333
649, 275, 333
652, 275, 333
653, 275, 333
651, 275, 333
649, 275, 333
653, 277, 332
649, 273, 334
652, 273, 334
649, 273, 334
651, 275, 333
649, 273, 334
649, 275, 333
649, 273, 334
652, 275, 333
652, 277, 332
648, 275, 333
653, 277, 332
653, 277, 332
659, 283, 329
651, 275, 333
651, 277, 332
649, 275, 333
634, 288, 326
212, 849, 27
284, 802, 52
395, 733, 89
202, 736, 87
637, 279, 331
653, 288, 326
652, 277, 332
653, 275, 333
651, 275, 333
649, 275, 333
651, 273, 334
653, 275, 333
655, 275, 333
653, 273, 334
