900, 900
x軸, y軸（補正なし）, ypos（補正あり）
209, 236, 515
210, 234, 510
208, 235, 511
208, 238, 518
208, 236, 514
209, 236, 513
209, 238, 518
211, 236, 515
209, 236, 513
207, 236, 515
211, 237, 516
208, 236, 514
209, 236, 514
210, 236, 514
209, 236, 515
212, 236, 515
211, 236, 515
210, 236, 513
211, 234, 510
208, 237, 516
207, 236, 515
207, 236, 514
208, 236, 515
209, 236, 515
208, 237, 516
207, 236, 514
207, 236, 513
207, 236, 514
208, 236, 513
209, 236, 515
209, 236, 514
210, 236, 515
210, 236, 514
208, 236, 514
210, 234, 510
209, 236, 514
211, 235, 512
208, 237, 516
210, 235, 512
210, 238, 518
208, 238, 518
208, 236, 514
209, 237, 517
209, 236, 514
208, 236, 513
210, 235, 512
208, 236, 514
209, 236, 515
