900, 900
x軸, y軸（補正なし）, ypos（補正あり）
517, 466, 434
519, 467, 433
515, 466, 434
524, 465, 435
518, 466, 434
517, 465, 435
518, 464, 436
517, 464, 436
518, 465, 435
525, 465, 435
519, 467, 433
521, 465, 435
521, 465, 435
518, 464, 436
518, 466, 434
518, 465, 435
518, 464, 436
523, 466, 434
521, 467, 433
525, 467, 433
526, 474, 426
517, 465, 435
518, 465, 435
522, 467, 433
518, 465, 435
521, 468, 432
519, 467, 433
517, 464, 436
518, 467, 433
516, 465, 435
520, 468, 432
520, 465, 435
519, 467, 433
522, 464, 436
515, 464, 436
522, 468, 432
520, 465, 435
516, 466, 434
524, 467, 433
519, 468, 432
518, 464, 436
518, 465, 435
519, 466, 434
519, 465, 435
515, 466, 434
521, 468, 432
522, 467, 433
519, 464, 436
515, 464, 436
514, 466, 434
518, 464, 436
515, 465, 435
517, 463, 437
514, 464, 436
516, 466, 434
514, 463, 437
519, 468, 432
517, 467, 433
519, 466, 434
517, 464, 436
517, 465, 435
519, 464, 436
521, 465, 435
517, 467, 433
515, 464, 436
518, 464, 436
522, 467, 433
519, 467, 433
520, 464, 436
518, 465, 435
517, 464, 436
516, 466, 434
519, 467, 433
514, 465, 435
519, 466, 434
517, 464, 436
519, 466, 434
514, 465, 435
520, 465, 435
513, 464, 436
518, 465, 435
521, 467, 433
519, 467, 433
516, 465, 435
521, 464, 436
518, 464, 436
516, 464, 436
516, 465, 435
512, 464, 436
523, 467, 433
522, 468, 432
516, 464, 436
515, 466, 434
516, 465, 435
512, 464, 436
514, 466, 434
517, 465, 435
516, 465, 435
519, 463, 437
518, 465, 435
522, 468, 432
520, 464, 436
516, 465, 435
520, 466, 434
521, 466, 434
519, 467, 433
518, 466, 434
530, 475, 425
520, 467, 433
515, 467, 433
520, 465, 435
517, 465, 435
526, 466, 434
516, 465, 435
520, 467, 433
519, 465, 435
518, 466, 434
521, 464, 436
518, 465, 435
519, 466, 434
522, 467, 433
518, 465, 435
519, 465, 435
517, 464, 436
524, 466, 434
525, 467, 433
516, 466, 434
516, 465, 435
518, 465, 435
518, 465, 435
516, 465, 435
515, 465, 435
516, 466, 434
518, 465, 435
517, 465, 435
519, 466, 434
516, 466, 434
518, 463, 437
522, 465, 435
520, 467, 433
517, 467, 433
519, 465, 435
516, 465, 435
518, 465, 435
515, 465, 435
519, 468, 432
516, 466, 434
513, 465, 435
523, 467, 433
523, 467, 433
519, 464, 436
518, 466, 434
518, 465, 435
521, 467, 433
517, 465, 435
520, 466, 434
518, 465, 435
513, 464, 436
518, 465, 435
515, 466, 434
520, 465, 435
520, 464, 436
521, 466, 434
517, 466, 434
521, 468, 432
520, 464, 436
519, 466, 434
519, 464, 436
521, 464, 436
519, 464, 436
518, 464, 436
511, 464, 436
518, 465, 435
519, 467, 433
519, 466, 434
521, 466, 434
518, 464, 436
518, 464, 436
520, 465, 435
522, 465, 435
517, 465, 435
522, 465, 435
523, 463, 437
519, 467, 433
520, 465, 435
520, 468, 432
518, 464, 436
518, 465, 435
518, 464, 436
522, 467, 433
516, 463, 437
521, 464, 436
516, 464, 436
520, 464, 436
519, 467, 433
517, 466, 434
517, 464, 436
523, 466, 434
520, 465, 435
526, 467, 433
521, 467, 433
516, 464, 436
519, 466, 434
521, 467, 433
522, 464, 436
520, 467, 433
518, 464, 436
517, 464, 436
517, 464, 436
520, 465, 435
519, 464, 436
519, 464, 436
514, 465, 435
513, 466, 434
518, 466, 434
519, 467, 433
513, 467, 433
514, 468, 432
506, 467, 433
513, 467, 433
516, 466, 434
514, 469, 431
515, 469, 431
513, 466, 434
516, 467, 433
518, 465, 435
511, 467, 433
510, 466, 434
515, 465, 435
518, 467, 433
518, 468, 432
515, 466, 434
520, 465, 435
516, 466, 434
519, 467, 433
521, 470, 430
511, 466, 434
510, 464, 436
517, 468, 432
513, 466, 434
511, 467, 433
518, 469, 431
514, 467, 433
510, 465, 435
510, 465, 435
521, 467, 433
521, 470, 430
519, 465, 435
512, 469, 431
516, 468, 432
515, 466, 434
512, 465, 435
514, 467, 433
516, 468, 432
514, 465, 435
513, 467, 433
516, 466, 434
515, 469, 431
512, 465, 435
515, 465, 435
518, 465, 435
516, 466, 434
512, 465, 435
515, 468, 432
515, 466, 434
510, 466, 434
517, 465, 435
518, 466, 434
518, 465, 435
510, 466, 434
519, 467, 433
515, 465, 435
514, 465, 435
518, 467, 433
516, 465, 435
518, 465, 435
520, 465, 435
517, 467, 433
513, 465, 435
516, 465, 435
512, 466, 434
518, 469, 431
515, 467, 433
512, 466, 434
514, 467, 433
523, 467, 433
516, 467, 433
512, 466, 434
515, 466, 434
516, 465, 435
516, 466, 434
514, 465, 435
511, 466, 434
511, 465, 435
521, 467, 433
515, 466, 434
516, 466, 434
513, 464, 436
513, 467, 433
515, 468, 432
514, 466, 434
515, 468, 432
518, 466, 434
511, 465, 435
515, 467, 433
516, 468, 432
510, 467, 433
520, 468, 432
510, 467, 433
515, 468, 432
515, 468, 432
510, 466, 434
514, 469, 431
518, 467, 433
512, 466, 434
507, 466, 434
510, 466, 434
513, 466, 434
510, 465, 435
512, 467, 433
497, 606, 294
513, 469, 431
507, 467, 433
507, 467, 433
517, 468, 432
507, 466, 434
518, 468, 432
512, 467, 433
516, 467, 433
516, 468, 432
517, 465, 435
517, 468, 432
517, 466, 434
493, 607, 293
508, 465, 435
515, 466, 434
511, 468, 432
512, 465, 435
516, 467, 433
518, 468, 432
509, 467, 433
514, 467, 433
521, 468, 432
514, 465, 435
513, 466, 434
514, 468, 432
514, 466, 434
514, 466, 434
509, 465, 435
510, 468, 432
514, 464, 436
515, 466, 434
512, 465, 435
519, 467, 433
501, 605, 295
515, 468, 432
514, 466, 434
511, 467, 433
517, 468, 432
518, 467, 433
513, 467, 433
515, 469, 431
515, 467, 433
511, 465, 435
522, 465, 435
518, 464, 436
494, 607, 293
518, 465, 435
512, 466, 434
512, 468, 432
515, 470, 430
512, 467, 433
514, 466, 434
516, 466, 434
517, 466, 434
517, 465, 435
513, 467, 433
511, 466, 434
515, 465, 435
516, 465, 435
508, 466, 434
512, 467, 433
514, 467, 433
514, 466, 434
516, 468, 432
513, 465, 435
516, 468, 432
509, 465, 435
518, 468, 432
509, 465, 435
505, 603, 297
513, 469, 431
515, 465, 435
515, 468, 432
499, 605, 295
517, 468, 432
515, 468, 432
512, 468, 432
508, 467, 433
513, 469, 431
500, 605, 295
513, 467, 433
517, 466, 434
514, 468, 432
509, 466, 434
515, 466, 434
510, 467, 433
513, 465, 435
509, 466, 434
517, 467, 433
513, 467, 433
510, 465, 435
511, 466, 434
517, 465, 435
512, 469, 431
509, 467, 433
519, 468, 432
513, 467, 433
509, 466, 434
511, 466, 434
511, 467, 433
511, 466, 434
514, 465, 435
515, 470, 430
518, 465, 435
511, 465, 435
515, 469, 431
514, 466, 434
513, 467, 433
517, 466, 434
520, 468, 432
516, 467, 433
510, 466, 434
513, 467, 433
515, 466, 434
513, 466, 434
513, 464, 436
511, 466, 434
530, 464, 436
486, 596, 304
491, 579, 321
474, 590, 310
478, 602, 298
349, 709, 191
510, 461, 439
520, 465, 435
513, 464, 436
517, 465, 435
513, 464, 436
515, 466, 434
511, 466, 434
516, 466, 434
513, 466, 434
516, 464, 436
512, 465, 435
503, 602, 298
518, 465, 435
520, 467, 433
518, 466, 434
514, 466, 434
511, 465, 435
514, 465, 435
514, 465, 435
520, 466, 434
516, 467, 433
518, 466, 434
521, 465, 435
515, 466, 434
521, 466, 434
512, 465, 435
519, 465, 435
513, 466, 434
515, 465, 435
517, 464, 436
516, 464, 436
514, 466, 434
519, 465, 435
518, 466, 434
520, 465, 435
515, 465, 435
514, 464, 436
515, 466, 434
514, 464, 436
514, 464, 436
514, 465, 435
514, 466, 434
514, 466, 434
516, 465, 435
511, 464, 436
514, 465, 435
517, 465, 435
519, 465, 435
518, 466, 434
516, 465, 435
518, 466, 434
513, 466, 434
515, 465, 435
514, 466, 434
518, 465, 435
516, 465, 435
516, 465, 435
520, 466, 434
522, 468, 432
514, 464, 436
514, 464, 436
514, 465, 435
518, 466, 434
514, 467, 433
518, 466, 434
518, 466, 434
509, 465, 435
515, 464, 436
516, 465, 435
513, 466, 434
516, 465, 435
523, 466, 434
516, 467, 433
514, 465, 435
512, 466, 434
512, 465, 435
514, 464, 436
515, 464, 436
510, 465, 435
516, 466, 434
513, 464, 436
513, 467, 433
521, 468, 432
515, 465, 435
521, 465, 435
516, 469, 431
517, 467, 433
515, 466, 434
517, 469, 431
514, 466, 434
515, 465, 435
515, 464, 436
521, 467, 433
516, 464, 436
519, 466, 434
519, 466, 434
519, 465, 435
515, 465, 435
517, 464, 436
518, 467, 433
516, 465, 435
513, 465, 435
511, 465, 435
514, 465, 435
516, 466, 434
519, 468, 432
513, 465, 435
518, 465, 435
514, 465, 435
514, 464, 436
516, 464, 436
519, 469, 431
515, 466, 434
513, 465, 435
518, 465, 435
511, 465, 435
518, 465, 435
513, 465, 435
516, 465, 435
518, 465, 435
510, 466, 434
522, 466, 434
515, 465, 435
517, 465, 435
513, 464, 436
516, 464, 436
518, 465, 435
516, 465, 435
513, 465, 435
513, 465, 435
512, 465, 435
517, 465, 435
517, 465, 435
514, 463, 437
516, 465, 435
510, 466, 434
519, 464, 436
519, 467, 433
509, 466, 434
516, 465, 435
518, 466, 434
519, 467, 433
518, 466, 434
522, 466, 434
515, 464, 436
515, 464, 436
520, 464, 436
523, 466, 434
519, 465, 435
513, 464, 436
514, 465, 435
519, 467, 433
516, 465, 435
515, 465, 435
519, 468, 432
501, 605, 295
516, 465, 435
512, 466, 434
517, 465, 435
516, 465, 435
518, 466, 434
514, 465, 435
519, 465, 435
513, 465, 435
516, 464, 436
518, 468, 432
518, 466, 434
515, 465, 435
519, 467, 433
514, 464, 436
513, 465, 435
516, 466, 434
517, 465, 435
514, 465, 435
514, 465, 435
522, 468, 432
515, 467, 433
510, 470, 430
508, 467, 433
513, 469, 431
513, 467, 433
514, 466, 434
519, 464, 436
522, 467, 433
520, 464, 436
