1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
624, 339, 299
624, 337, 300
628, 335, 301
628, 335, 301
625, 337, 300
628, 337, 300
630, 339, 299
627, 337, 300
631, 333, 302
624, 337, 300
631, 335, 301
627, 339, 299
632, 346, 295
624, 339, 299
627, 335, 301
631, 346, 295
630, 337, 300
632, 333, 302
627, 335, 301
628, 337, 300
627, 337, 300
630, 339, 299
630, 335, 301
627, 335, 301
628, 337, 300
630, 339, 299
628, 339, 299
625, 341, 298
628, 337, 300
627, 335, 301
628, 337, 300
630, 337, 300
634, 331, 303
627, 339, 299
627, 339, 299
625, 335, 301
628, 335, 301
630, 339, 299
627, 337, 300
625, 339, 299
624, 341, 298
630, 333, 302
624, 339, 299
622, 337, 300
627, 337, 300
627, 339, 299
630, 339, 299
628, 335, 301
624, 339, 299
627, 339, 299
628, 335, 301
628, 335, 301
630, 337, 300
631, 333, 302
630, 337, 300
628, 335, 301
625, 337, 300
625, 335, 301
625, 335, 301
628, 337, 300
628, 337, 300
624, 337, 300
630, 339, 299
628, 337, 300
631, 333, 302
635, 331, 303
625, 335, 301
630, 335, 301
624, 337, 300
627, 339, 299
630, 339, 299
627, 339, 299
630, 337, 300
624, 341, 298
628, 335, 301
628, 335, 301
627, 335, 301
625, 337, 300
628, 337, 300
627, 335, 301
630, 335, 301
625, 339, 299
630, 337, 300
625, 337, 300
625, 341, 298
630, 335, 301
630, 341, 298
625, 337, 300
628, 339, 299
630, 335, 301
628, 335, 301
627, 333, 302
627, 333, 302
625, 337, 300
625, 339, 299
627, 339, 299
628, 337, 300
624, 337, 300
622, 339, 299
624, 335, 301
628, 335, 301
625, 337, 300
628, 335, 301
628, 337, 300
631, 333, 302
634, 333, 302
634, 333, 302
627, 339, 299
630, 337, 300
628, 335, 301
627, 335, 301
627, 337, 300
631, 337, 300
631, 350, 293
635, 333, 302
630, 335, 301
631, 337, 300
631, 333, 302
631, 337, 300
632, 333, 302
628, 337, 300
627, 339, 299
628, 337, 300
632, 337, 300
628, 337, 300
637, 333, 302
635, 335, 301
634, 333, 302
628, 335, 301
630, 337, 300
625, 337, 300
628, 339, 299
628, 339, 299
632, 333, 302
628, 337, 300
634, 337, 300
632, 333, 302
635, 331, 303
630, 335, 301
631, 335, 301
627, 337, 300
631, 335, 301
627, 335, 301
628, 337, 300
630, 337, 300
630, 335, 301
631, 335, 301
631, 333, 302
628, 339, 299
